partner_id,date,product_id,price_total,product_uom_qty,qty_delivered,Product,team,customer_residence,customer,Salesperson
186,9/3/2024 0:18,243,400,1,1,B2C-Managu,Point of Sale,Southlands Estate Langata Kwetu Court 226,Mathew Newman,Sophie Evans-Saunders
186,9/3/2024 0:18,251,400,1,1,B2C-Kunde,Point of Sale,Southlands Estate Langata Kwetu Court 226,Mathew Newman,Sophie Evans-Saunders
186,9/3/2024 0:18,345,200,1,1, Delivery Cost      ,Point of Sale,Southlands Estate Langata Kwetu Court 226,Mathew Newman,Sophie Evans-Saunders
232,9/2/2024 23:38,243,400,1,1,B2C-Managu,Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
232,9/2/2024 23:38,345,200,1,1, Delivery Cost      ,Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
232,9/2/2024 23:38,242,1750,5,5,B2C-Githeri,Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
232,9/2/2024 23:38,319,400,1,1,B2C-Managu Terere,Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
232,9/2/2024 23:38,298,400,1,1,B2C-Mrenda ,Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
232,9/2/2024 23:38,327,400,1,1,B2C-Terere Kunde,Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
232,9/2/2024 23:38,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,Nairobi,Maria Alexander,Sophie Evans-Saunders
663,9/2/2024 21:43,344,1000,2,2,Fermented Kunde,Point of Sale,,Dr Allan Wilson,Sophie Evans-Saunders
663,9/2/2024 21:43,346,150,1,1, Delivery Cost      ,Point of Sale,,Dr Allan Wilson,Sophie Evans-Saunders
663,9/2/2024 21:43,231,1000,2,2,B2C-Fermented Managu ,Point of Sale,,Dr Allan Wilson,Sophie Evans-Saunders
663,9/2/2024 21:43,44,800,2,2,B2C-Pumpkin,Point of Sale,,Dr Allan Wilson,Sophie Evans-Saunders
574,9/2/2024 21:29,345,200,1,1, Delivery Cost      ,Point of Sale,"CBD,Nairobi",Dr Justin Vaughan,Sophie Evans-Saunders
574,9/2/2024 21:29,292,500,1,1,B2C-Fermented sagaa,Point of Sale,"CBD,Nairobi",Dr Justin Vaughan,Sophie Evans-Saunders
745,9/2/2024 21:27,314,250,1,1, Delivery Cost     ,Point of Sale,,Sarah Hill,Sophie Evans-Saunders
745,9/2/2024 21:27,343,500,1,1,Fermented Mrenda Mitoo,Point of Sale,,Sarah Hill,Sophie Evans-Saunders
745,9/2/2024 21:27,292,500,1,1,B2C-Fermented sagaa,Point of Sale,,Sarah Hill,Sophie Evans-Saunders
746,9/2/2024 21:19,298,1600,4,4,B2C-Mrenda ,Point of Sale,,Charlotte Richardson,Sophie Evans-Saunders
746,9/2/2024 21:19,345,200,1,1, Delivery Cost      ,Point of Sale,,Charlotte Richardson,Sophie Evans-Saunders
746,9/2/2024 21:19,243,1600,4,4,B2C-Managu,Point of Sale,,Charlotte Richardson,Sophie Evans-Saunders
746,9/2/2024 21:19,231,1000,2,2,B2C-Fermented Managu ,Point of Sale,,Charlotte Richardson,Sophie Evans-Saunders
746,9/2/2024 21:19,44,1600,4,4,B2C-Pumpkin,Point of Sale,,Charlotte Richardson,Sophie Evans-Saunders
619,9/2/2024 21:09,45,400,1,1,B2C-Mitoo/Slender leaf,Point of Sale,,Ms Sheila Hussain,Sophie Evans-Saunders
619,9/2/2024 21:09,345,200,1,1, Delivery Cost      ,Point of Sale,,Ms Sheila Hussain,Sophie Evans-Saunders
619,9/2/2024 21:09,40,1200,3,3,B2C-Sagaa/Saget,Point of Sale,,Ms Sheila Hussain,Sophie Evans-Saunders
619,9/2/2024 21:09,251,800,2,2,B2C-Kunde,Point of Sale,,Ms Sheila Hussain,Sophie Evans-Saunders
619,9/2/2024 21:09,243,800,2,2,B2C-Managu,Point of Sale,,Ms Sheila Hussain,Sophie Evans-Saunders
619,9/2/2024 21:09,44,400,1,1,B2C-Pumpkin,Point of Sale,,Ms Sheila Hussain,Sophie Evans-Saunders
744,9/2/2024 18:40,45,800,2,2,B2C-Mitoo/Slender leaf,Point of Sale,,Joyce Elliott-Hutchinson,Sophie Evans-Saunders
744,9/2/2024 18:40,345,200,1,1, Delivery Cost      ,Point of Sale,,Joyce Elliott-Hutchinson,Sophie Evans-Saunders
744,9/2/2024 18:40,298,800,2,2,B2C-Mrenda ,Point of Sale,,Joyce Elliott-Hutchinson,Sophie Evans-Saunders
743,9/2/2024 18:36,346,150,1,1, Delivery Cost      ,Point of Sale,,Scott Taylor-Griffiths,Sophie Evans-Saunders
743,9/2/2024 18:36,44,400,1,1,B2C-Pumpkin,Point of Sale,,Scott Taylor-Griffiths,Sophie Evans-Saunders
743,9/2/2024 18:36,244,400,1,1,B2C-Terere,Point of Sale,,Scott Taylor-Griffiths,Sophie Evans-Saunders
743,9/2/2024 18:36,183,400,1,1,B2C-Kunde Mrenda,Point of Sale,,Scott Taylor-Griffiths,Sophie Evans-Saunders
742,9/2/2024 18:13,381,280,7,7,Packaging bag,Point of Sale,,Declan Little,Sophie Evans-Saunders
742,9/2/2024 18:10,231,500,1,1,B2C-Fermented Managu ,Point of Sale,,Declan Little,Sophie Evans-Saunders
742,9/2/2024 18:10,298,800,2,2,B2C-Mrenda ,Point of Sale,,Declan Little,Sophie Evans-Saunders
742,9/2/2024 18:10,251,1600,4,4,B2C-Kunde,Point of Sale,,Declan Little,Sophie Evans-Saunders
100,9/1/2024 23:01,359,50,1,1, Delivery Cost ,Point of Sale,,Mohammed Simpson,Sophie Evans-Saunders
100,9/1/2024 23:01,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,,Mohammed Simpson,Sophie Evans-Saunders
82,9/1/2024 21:34,346,150,1,1, Delivery Cost      ,Point of Sale,Uthiru,Carly Brown,Sophie Evans-Saunders
82,9/1/2024 21:34,308,400,1,1,Precooked Sagaa and Managu mix,Point of Sale,Uthiru,Carly Brown,Sophie Evans-Saunders
82,9/1/2024 21:34,324,400,1,1,B2C-Pumpkin Nderema,Point of Sale,Uthiru,Carly Brown,Sophie Evans-Saunders
741,8/31/2024 23:47,243,800,2,2,B2C-Managu,Point of Sale,,Kimberley Davies,Sophie Evans-Saunders
741,8/31/2024 23:47,177,400,1,1,B2C-Mrenda Mito Mix,Point of Sale,,Kimberley Davies,Sophie Evans-Saunders
741,8/31/2024 23:47,314,250,1,1, Delivery Cost     ,Point of Sale,,Kimberley Davies,Sophie Evans-Saunders
47,8/31/2024 19:51,243,400,1,1,B2C-Managu,Point of Sale,Ngong Road,Emily Hall,Sophie Evans-Saunders
47,8/31/2024 19:51,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,Ngong Road,Emily Hall,Sophie Evans-Saunders
47,8/31/2024 19:51,244,400,1,1,B2C-Terere,Point of Sale,Ngong Road,Emily Hall,Sophie Evans-Saunders
740,8/31/2024 19:09,183,800,2,2,B2C-Kunde Mrenda,Point of Sale,,Mr Damien Watson,Sophie Evans-Saunders
740,8/31/2024 19:09,251,800,2,2,B2C-Kunde,Point of Sale,,Mr Damien Watson,Sophie Evans-Saunders
740,8/31/2024 19:09,345,200,1,1, Delivery Cost      ,Point of Sale,,Mr Damien Watson,Sophie Evans-Saunders
739,8/31/2024 19:05,319,800,2,2,B2C-Managu Terere,Point of Sale,,Joanna Lee,Sophie Evans-Saunders
739,8/31/2024 19:05,292,500,1,1,B2C-Fermented sagaa,Point of Sale,,Joanna Lee,Sophie Evans-Saunders
739,8/31/2024 19:05,231,500,1,1,B2C-Fermented Managu ,Point of Sale,,Joanna Lee,Sophie Evans-Saunders
739,8/31/2024 19:05,44,800,2,2,B2C-Pumpkin,Point of Sale,,Joanna Lee,Sophie Evans-Saunders
739,8/31/2024 19:05,351,700,1,1, Delivery Cost,Point of Sale,,Joanna Lee,Sophie Evans-Saunders
739,8/31/2024 19:05,327,400,1,1,B2C-Terere Kunde,Point of Sale,,Joanna Lee,Sophie Evans-Saunders
738,8/31/2024 18:59,243,400,1,1,B2C-Managu,Point of Sale,,Ms Karen Wilson,Sophie Evans-Saunders
738,8/31/2024 18:59,40,400,1,1,B2C-Sagaa/Saget,Point of Sale,,Ms Karen Wilson,Sophie Evans-Saunders
738,8/31/2024 18:59,333,1850,1,1,Dressed chicken(jogoo),Point of Sale,,Ms Karen Wilson,Sophie Evans-Saunders
738,8/31/2024 18:59,45,400,1,1,B2C-Mitoo/Slender leaf,Point of Sale,,Ms Karen Wilson,Sophie Evans-Saunders
